lon,lat,address,city_contribution
-48.3242858,-10.249091,"Palmas, TO, Brazil",178740
-47.8821658,-15.7942287,"Brasília - Brasilia, Federal District, Brazil",4136392.46
-47.8644715,-15.7997654,"Federal District, Brazil",133165
-47.6480644,-22.7342864,"Piracicaba, SP, Brazil",721465.6
-47.5651394,-22.4149023,"Rio Claro, SP, Brazil",58739.6
-47.0626332,-22.9099384,"Campinas, State of São Paulo, Brazil",1533647.35
-46.6333094,-23.5505199,"São Paulo, State of São Paulo, Brazil",3756157.4
-46.5436003,-23.6742228,"Santo André, State of São Paulo, Brazil",89580
-46.3288865,-23.9678823,"Santos, State of São Paulo, Brazil",136400
-46.050483,60.9129622,"Narsaq, Greenland",335325
-45.9009074,-23.223701,"São José dos Campos, SP, Brazil",1673012.33
-45.0116583,-22.6650996,"Cachoeira Paulista, SP, Brazil",224200
-43.9344931,-19.9166813,"Belo Horizonte, State of Minas Gerais, Brazil",906730.61
-43.1728965,-22.9068467,"Rio de Janeiro, State of Rio de Janeiro, Brazil",6885126.39
-42.8785788,-20.7548659,"Viçosa, MG, Brazil",1178923
-38.9646608,-12.2597272,"Feira de Santana - Maria Quitéria, Feira de Santana - BA, Brazil",193028
-38.5266704,-3.7318616,"Fortaleza - Zone 1, Fortaleza - State of Ceará, Brazil",246161.93
-38.502304,-12.9730401,"Salvador, State of Bahia, Brazil",471265
-34.8828969,-8.0578381,"Recife - Paratibe, Recife - State of Pernambuco, Brazil",1103897.15
-28.6299812,38.5348447,"Horta, Portugal",184800
-25.6805868,37.7428301,"Ponta Delgada, Portugal",841028.09
-24.9813499,16.8765457,"Mindelo, Cape Verde",183371.23
-23.82302,65.6267441,"Tálknafjörður, Iceland",18000
-23.5133267,14.93305,"Praia, Cape Verde",44143.44
-22.9386472,16.7560469,"Espargos, Cape Verde",131000
-22.7357311,65.0728985,"Stykkishólmur, Iceland",166558.25
-22.5582716,63.9997549,"Reykjanesbær, Iceland",184000
-22.0702847,64.3219244,"Akranes, Iceland",18891
-21.9684626,64.0291054,"Hafnarfjordur, Iceland",727174.5
-21.9010494,64.5609274,"Borgarnes, Iceland",56977.72
-21.8909088,64.078804,"Gardabaer, Iceland",1166172
-21.8832579,64.1033023,"Kópavogur, Iceland",756640.5
-21.8174393,64.1265206,"Reykjavík, Iceland",50903917.4
-21.1444476,63.8635879,"Eyrarbakki, Iceland",337140.25
-20.3918915,63.8354933,"Hella, Iceland",296596.4
-20.267321,63.437679,"Vestmannaeyjar, Iceland",217500
-18.1261693,65.6884921,"Akureyri, Iceland",479649.5
-17.7645747,28.6839885,"Santa Cruz de la Palma, Santa Cruz de Tenerife, Spain",48000
-17.4706438,14.69115,"Fann, Dakar, Senegal",1499750.6
-17.3660286,14.7645042,"Dakar, Senegal",2895516.09
-16.9240554,32.6669328,"Funchal, Portugal",2778443.1
-16.5790323,13.4548761,"Banjul, The Gambia",137200
-16.5768911,28.1222699,"Granadilla, Santa Cruz de Tenerife, Spain",52199
-16.4818167,16.0326307,"St Louis, Senegal",148473
-16.3159061,28.4874009,"San Cristóbal de La Laguna, Santa Cruz de Tenerife, Spain",9247060.25
-16.2518467,28.4636296,"Santa Cruz de Tenerife, Spain",2526867.95
-15.9582372,18.0735299,"Nouakchott, Mauritania",79960
-15.6177942,11.8816553,"Bissau, Guinea-Bissau",929390
-15.5730295,27.9249459,"35290 San Bartolomé de Tirajana, Las Palmas, Spain",241391
-15.4362574,28.1235459,"Las Palmas de Gran Canaria, Las Palmas, Spain",6716366.68
-15.4173726,27.9955313,"Telde, Las Palmas, Spain",2872110.97
-13.2576906,15.6600225,"Matam, Senegal",31658.63
-10.2730136,51.8244027,"Ballinskelligs, Co. Kerry, Ireland",254134
-9.8447768,53.594765,"Connemara Loop, Co. Galway, Ireland",20800
-9.7330771,52.414422,"Causeway, Co. Kerry, Ireland",565195
-9.6999325,52.2713096,"Tralee, Co. Kerry, Ireland",1618024.85
-9.67097,52.51108,"Ballybunion, Co. Kerry, Ireland",457071
-9.5981072,30.4277547,"Agadir 80000, Morocco",48453.6
-9.5463685,53.8852758,"Newport, Co. Mayo, Ireland",1842396.24
-9.5143467,53.8021307,"Westport, Co. Mayo, Ireland",464244
-9.4853655,52.4460488,"Listowel, Co. Kerry, Ireland",35997.49
-9.4655489,53.2403113,"Inverin, Co. Galway, Ireland",831246.03
-9.4525763,51.6800803,"Bantry, Co. Cork, Ireland",2139916.48
-9.4222945,38.6970565,"2750 Cascais, Portugal",496148
-9.4098825,38.7331569,"Alcabideche, Portugal",220451
-9.387622,39.3603291,"2520 Peniche, Portugal",622744
-9.3816589,38.8028687,"Sintra, Portugal",243889.2
-9.3774199,53.0160289,"Doolin, Co. Clare, Ireland",108369
-9.3516456,53.934581,"Co. Mayo, Ireland",13106
-9.3402312,38.8123144,"2725-079 Mem Martins, Portugal",334115
-9.3173746,38.8393382,"2715-311 Pêro Pinheiro, Portugal",73363.94
-9.3146014,38.6968607,"Oeiras, Portugal",20843005.74
-9.3129511,39.2414853,"2530 Lourinhã, Portugal",301000
-9.3062823,38.7260913,"Porto Salvo, Portugal",546560
-9.2915896,38.696797,"2770 Paço de Arcos, Portugal",338758
-9.2803169,38.7329446,"2730-208 Barcarena, Portugal",219749
-9.2612453,51.6599357,"Drimoleague, Co. Cork, Ireland",53708
-9.2600341,39.0917759,"2560 Torres Vedras, Portugal",471798.39
-9.25006,38.7011324,"1495 Cruz Quebrada, Portugal",608145.53
-9.2415821,38.7147973,"Linda-a-Velha, Portugal",277890
-9.2397066,38.7008552,"Dafundo, 1495 Cruz Quebrada, Portugal",176513.7
-9.23699,38.7238227,"2790 Carnaxide, Portugal",1991242
-9.2310182,38.7009095,"1495 Algés, Portugal",8305.4
-9.2245474,38.7577603,"Amadora, Portugal",675386
-9.2027757,38.6597882,"2825 Caparica, Portugal",12491839.26
-9.2003042,38.6645445,"Monte de Caparica, 2825 Caparica, Portugal",2801978.75
-9.18518,38.795369,"Odivelas, Portugal",240389.56
-9.1814776,53.3387481,"Moycullen, Co. Galway, Ireland",721168.7
-9.1741095,38.831549,"Loures, Portugal",143958
-9.1651047,38.6765238,"Almada, Portugal",367188.85
-9.1582014,39.3604212,"2510 Óbidos Municipality, Portugal",4868802
-9.1550693,54.1149482,"Ballina, Co. Mayo, Ireland",499999.38
-9.1393366,38.7222524,"Lisbon, Portugal",132420502.86
-9.1359847,38.7454775,"Av. São João de Deus, 1000 Lisboa, Portugal",1647670.95
-9.1290128,38.864647,"2660 São Julião do Tojal, Portugal",88370.4
-9.106134,53.4694617,"Headford, Co. Galway, Ireland",251334
-9.1041157,38.7913987,"Sacavém, Portugal",557872.64
-9.1034759,39.4998922,"2460 Alfeizerão, Portugal",81299.7
-9.0790724,38.6608149,"Barreiro, Portugal",1053364.3
-9.0774591,38.9835516,"2630 Arruda dos Vinhos, Portugal",63596
-9.07412,53.1486,"Burren, Co. Clare, Ireland",244440
-9.0704274,53.2625652,"Salthill, Co. Galway, Ireland",14699.94
-9.0567905,53.270668,"Galway, Ireland",40392619.57
-9.0140033,39.0577004,"2580 Alenquer, Portugal",212705
-9.0059861,42.7245572,"Porto do Son, A Coruña, Spain",35797
-8.99729,53.2904256,"Ballybrit, Galway Technology Park, Co. Galway, Ireland",226868
-8.9902047,38.6527329,"2860 Moita, Portugal",205696.6
-8.9887384,52.8474255,"Ennis, Co. Clare, Ireland",150969.4
-8.9854587,42.5465851,"O Touro, A Coruña, Spain",168713.95
-8.9796492,39.548667,"2460 Alcobaça, Portugal",55001.25
-8.9631789,38.9914868,"2600 Castanheira do Ribatejo, Portugal",152178
-8.9631789,39.0225262,"2580 Carregado, Portugal",154800
-8.9425377,38.5666235,"2950 Q.ta do Anjo, Portugal",309700
-8.9318059,39.7503802,"2430 Marinha Grande, Portugal",1434527.71
-8.9016937,38.569441,"Palmela, Portugal",235457.8
-8.8990273,39.1375675,"Aveiras de Cima, Portugal",161396
-8.8909328,38.5260437,"Setúbal Municipality, Portugal",755787
-8.8882891,42.7842757,"Noia, A Coruña, Spain",463577.78
-8.8730676,52.7124708,"Shannon, Co. Clare, Ireland",391887.23
-8.8694383,53.210233,"Kilcolgan, Co. Galway, Ireland",117000
-8.8651418,42.4959962,"O Grove, Pontevedra, Spain",176421
-8.8608907,37.9571555,"Sines, Portugal",29659.12
-8.857583,40.1521398,"Figueira da Foz, Portugal",13025
-8.8565177,53.5141156,"Tuam, Co. Galway, Ireland",151779
-8.8344101,41.6918275,"Viana do Castelo, Portugal",58908.68
-8.8252502,37.0859864,"8650 Budens, Portugal",314400
-8.8145173,42.5137374,"Cambados, Pontevedra, Spain",197848.4
-8.8095801,38.9816876,"Benavente, Portugal",594602
-8.807683,39.7495331,"Leiria, Portugal",838324.55
-8.7888254,39.1618166,"2070 Cartaxo, Portugal",597819
-8.7659082,42.5953513,"Vilagarcía de Arousa, Pontevedra, Spain",579451
-8.7609294,41.3803685,"Povoa de Varzim, Portugal",276421
-8.7478619,41.3517302,"Vila do Conde, Portugal",480600.66
-8.7453768,53.3008131,"Athenry, Co. Galway, Ireland",89668
-8.7363783,42.2819188,"Moaña, Pontevedra, Spain",199322.8
-8.726668,42.1477473,"Vincios, 36316, Pontevedra, Spain",12371
-8.7253133,51.7472382,"Bandon, Co. Cork, Ireland",1537832
-8.7207268,42.2405989,"Vigo, Pontevedra, Spain",20012955.95
-8.7178353,41.3729194,"4480 Touguinha, Portugal",567460
-8.7052604,40.7606812,"3870 Torreira, Portugal",176421
-8.6962775,41.1844362,"Matosinhos, Portugal",3396366.4
-8.6860119,39.2366618,"Santarem, Portugal",288987.45
-8.6749578,41.2149884,"4455 Santa Cruz do Bpo., Portugal",197490.53
-8.6730275,37.1027881,"8600 Lagos, Portugal",1097598
-8.6655592,39.1381464,"Benfica do Ribatejo, 2080, Portugal",4113.17
-8.660773,42.7381172,"Padrón, A Coruña, Spain",115000
-8.65864,51.88088,"Ovens, Co. Cork, Ireland",689269.88
-8.6583677,42.9038027,"15229 Ames, A Coruña, Spain",563080.8
-8.6545583,41.2407506,"Moreira, Portugal",984580
-8.6537539,40.6405055,"Aveiro, Portugal",12811617.29
-8.6518083,41.183583,"Sra. da Hora, Portugal",131970
-8.6466099,42.049155,"Tui, Pontevedra, Spain",35624
-8.6410332,41.0071914,"4500 Espinho, Portugal",130158
-8.6366851,37.5972313,"7630-174 Odemira, Portugal",30419.05
-8.6338957,41.2122435,"4465 Leça do Balio, Portugal",204525
-8.6327484,54.6577244,"Carrick, Co. Donegal, Ireland",230662
-8.6321415,39.9167748,"3100 Pombal, Portugal",126477
-8.6304975,52.6680204,"Limerick, Ireland",17773266.06
-8.6291053,41.1579438,"Porto, Portugal",49976473.62
-8.6266922,40.9580147,"3885 Esmoriz, Portugal",34100
-8.6259188000000009,39.2075584,"2080 Almeirim, Portugal",9600
-8.621049,41.2278891,"4470 Maia, Portugal",4218749.13
-8.6178922,41.5317419,"4750 Barcelos, Portugal",382187.72
-8.6177291,42.1608459,"O Porriño, Pontevedra, Spain",7157920.57
-8.6133188,41.1914703,"São Mamede de Infesta, Portugal",3485591.04
-8.6117851,41.1238759,"Vila Nova de Gaia, Portugal",145260
-8.6049111,54.6331088,"Kilcar, Co. Donegal, Ireland",22425
-8.5970953,40.970828,"4535 Paços de Brandão, Portugal",247950
-8.5949041,51.888026,"Ballincollig, Co. Cork, Ireland",40183.63
-8.5933462,40.3470015,"3060 Cantanhede, Portugal",3253760.08
-8.5872083,41.2398625,"4475-460 Nogueira, Portugal",11500
-8.5858382,41.4425438,"4775 Grimancelos, Portugal",487142
-8.5844644,41.0474463,"4415 Sermonde, Portugal",57238
-8.58264,52.67675,"Plassey, Co. Limerick, Ireland",221200
-8.5792106,53.9016968,"Ballaghaderreen, Co. Roscommon, Ireland",74861
-8.577596,40.6953224,"Angeja, Portugal",346761
-8.5709856,40.7528385,"Estarreja, Portugal",433417
-8.5638609,40.9951629,"4535 Mozelos, Portugal",829141.6
-8.5611142,40.530151,"3770 Oiã, Portugal",77560
-8.5450532,40.9881883,"4535 Lourosa, Portugal",381825.8
-8.5448445,42.8782132,"Santiago de Compostela, A Coruña, Spain",29774460.35
-8.544636,41.0191312,"Argoncilhe, Portugal",112868.4
-8.5365732,40.8655156,"3880 São Vicente de Pereira Jusã, Portugal",149816.45
-8.5294483,41.4051984,"V. N. Famalicão, 4760-111, Portugal",356101.9
-8.5248217,38.9603055,"2100 Coruche, Portugal",171000
-8.5237319,41.4111259,"4760 Vila Nova de Famalicão, Portugal",1849210.76
-8.5222327,51.7058853,"Kinsale, Co. Cork, Ireland",2e+05
-8.5171827,54.0898288,"Ballymote, Co. Sligo, Ireland",190225
-8.5116903,40.1945093,"Taveiro, Portugal",1147274.5
-8.5110695,38.3725756,"7580 Alcácer do Sal, Portugal",128340
-8.50277,42.3903179,"36820 Ponte Caldelas, Pontevedra, Spain",161101.8
-8.5007116,40.3880011,"3060 Sepins, Portugal",14164.99
-8.4906716,40.9005238,"3700 São João da Madeira, Portugal",377807.96
-8.4877692,40.8545978,"3720-515 Santiago da Riba-Ul, Portugal",453236
-8.4863157,51.8968917,"Cork, Ireland",66622025.3
-8.478759,39.4611239,"2330 Entroncamento, Portugal",439408.08
-8.4769763,40.8387294,"3720 Oliveira de Azeméis, Portugal",342165.48
-8.4760888,54.2766103,"Sligo, Ireland",318682.4
-8.4722358,43.1896948,"15185 Cerceda, A Coruña, Spain",39900
-8.4615547,38.6759628,"7080 Vendas Novas, Portugal",309600
-8.4547084,54.6347625,"Killybegs, Co. Donegal, Ireland",76710
-8.447109,40.4158237,"3780-630 Aguim, Portugal",168847.62
-8.4446445,40.8693202,"3720 Pindelo, Portugal",334668.22
